recipient_id,recipient_type,location_x,location_y,demand_level_kg,food_type_preference,priority,demand_timestamp
R000,Community Center,40.45465658763988,21.37705091792748,10.508382534881903,Vegetables,High,2025-04-30 06:00:00
R001,Food Bank,36.287119621526536,25.42853455823514,28.15132947852186,Canned,Medium,2025-04-30 14:00:00
R002,Community Center,34.06122449469539,47.14267852789905,21.97730932977072,Canned,High,2025-04-30 01:00:00
R003,Shelter,46.16240759128834,31.67018782552117,27.429211803754356,Bread,High,2025-04-30 19:00:00
R004,Shelter,47.66560517837736,16.217251050263698,12.441759094013467,Vegetables,High,2025-04-30 00:00:00
R005,Food Bank,34.55870325083883,21.355389431312815,26.36029531844986,Vegetables,High,2025-04-30 05:00:00
R006,Community Center,38.34822006297558,11.105390523536512,12.397307346673657,Bread,High,2025-04-30 21:00:00
R007,Food Bank,38.076723421160814,3.2446123554490782,15.078308278686894,Bread,High,2025-04-30 01:00:00
R008,Community Center,36.017566196335395,14.242024718873381,10.737738947090655,Vegetables,Low,2025-04-30 21:00:00
R009,Community Center,35.572929284732226,45.41329429833269,14.791237813339448,Dairy,Medium,2025-04-30 05:00:00
R010,Community Center,43.44271094811757,38.08098076643588,14.752750879847994,Canned,Low,2025-04-30 04:00:00
R011,Shelter,42.670594215217896,26.788734203737924,11.805795401088165,Vegetables,High,2025-04-30 05:00:00
R012,Food Bank,47.167176096274396,16.297945260094238,14.404820951310967,Dairy,Medium,2025-04-30 18:00:00
R013,Community Center,33.48732858009983,34.546886905123294,17.734706926010748,Dairy,Low,2025-04-30 10:00:00
R014,Food Bank,32.26947042481178,46.23468091392814,27.54678706761962,Canned,High,2025-04-30 15:00:00
