recipient_id,recipient_type,location_x,location_y,demand_level_kg,fulfilled_demand,food_type_preference,priority,demand_timestamp,scenario,step_count
R000,Community Center,40.45465658763988,21.37705091792748,44.42682098252109,0.0,Vegetables,High,2025-04-30 00:00:00,shortage,1
R001,Food Bank,36.287119621526536,25.42853455823514,33.1925935784353,0.0,Canned,Medium,2025-04-30 00:00:00,shortage,1
R002,Community Center,34.06122449469539,47.14267852789905,42.757312410060464,0.0,Canned,High,2025-04-30 00:00:00,shortage,1
R003,Shelter,46.16240759128834,31.67018782552117,44.14147988948109,0.0,Bread,High,2025-04-30 00:00:00,shortage,1
R004,Shelter,47.66560517837736,16.217251050263698,36.908618019852405,0.0,Vegetables,High,2025-04-30 00:00:00,shortage,1
R005,Food Bank,34.55870325083883,21.355389431312812,34.92711040236066,0.0,Vegetables,High,2025-04-30 00:00:00,shortage,1
R006,Community Center,38.34822006297558,11.105390523536512,38.442800843160406,0.0,Bread,High,2025-04-30 00:00:00,shortage,1
R007,Food Bank,38.076723421160814,3.2446123554490782,36.219696081671856,0.0,Bread,High,2025-04-30 00:00:00,shortage,1
R008,Community Center,36.017566196335395,14.24202471887338,37.13409376284029,0.0,Vegetables,Low,2025-04-30 00:00:00,shortage,1
R009,Community Center,35.572929284732226,45.41329429833269,43.470158208046776,0.0,Dairy,Medium,2025-04-30 00:00:00,shortage,1
R010,Community Center,43.44271094811757,38.08098076643588,40.31408528535192,0.0,Canned,Low,2025-04-30 00:00:00,shortage,1
R011,Shelter,42.670594215217896,26.788734203737924,44.75264114196612,0.0,Vegetables,High,2025-04-30 00:00:00,shortage,1
R012,Food Bank,47.1671760962744,16.297945260094238,35.7365189371761,0.0,Dairy,Medium,2025-04-30 00:00:00,shortage,1
R013,Community Center,33.48732858009983,34.546886905123294,42.08260667274638,0.0,Dairy,Low,2025-04-30 00:00:00,shortage,1
R014,Food Bank,32.26947042481178,46.23468091392814,33.599883762068764,0.0,Canned,High,2025-04-30 00:00:00,shortage,1
R000,Community Center,40.45465658763988,21.37705091792748,46.41420206826261,0.0,Vegetables,High,2025-04-30 02:00:00,shortage,3
R001,Food Bank,36.287119621526536,25.42853455823514,34.39252974475308,0.0,Canned,Medium,2025-04-30 02:00:00,shortage,3
