donor_id,donor_type,location_x,location_y,food_id,food_type,quantity_kg,expiry_date,perishability_hours,nutritional_value,donation_timestamp
D000,Household,18.727005942368123,36.59969709057025,F000000,Dairy,1.8997742423620259,2025-05-01 18:00:00,24,High,2025-04-30 20:00:00
D000,Household,18.727005942368123,36.59969709057025,F000001,Canned,7.372653200164409,2025-05-07 13:00:00,168,High,2025-04-30 20:00:00
D000,Household,18.727005942368123,36.59969709057025,F000002,Bread,8.491983767203795,2025-05-02 21:00:00,168,Medium,2025-04-30 20:00:00
D001,Supermarket,9.091248360355031,15.212112147976885,F001000,Dairy,3.6210622617823773,2025-05-01 19:00:00,24,Low,2025-04-30 21:00:00
D002,Supermarket,6.974693032602092,18.318092164684586,F002000,Vegetables,5.628109945722504,2025-05-01 10:00:00,24,Low,2025-04-30 14:00:00
D002,Supermarket,6.974693032602092,18.318092164684586,F002001,Bread,7.122767847290017,2025-05-04 02:00:00,168,Low,2025-04-30 14:00:00
D003,Household,0.6632480579933264,28.164410892276965,F003000,Vegetables,7.158097238609412,2025-05-01 07:00:00,24,Low,2025-04-30 08:00:00
D003,Household,0.6632480579933264,28.164410892276965,F003001,Canned,8.49875420562548,2025-05-02 06:00:00,168,Medium,2025-04-30 08:00:00
D004,Supermarket,19.55303037866204,37.76807051588263,F004000,Dairy,2.6636900997297435,2025-04-30 18:00:00,24,Medium,2025-04-30 05:00:00
D004,Supermarket,19.55303037866204,37.76807051588263,F004001,Dairy,4.55635212401633,2025-04-30 20:00:00,24,Medium,2025-04-30 05:00:00
D005,Supermarket,36.36359979282104,28.52219872026997,F005000,Dairy,3.442141285965063,2025-04-30 23:00:00,24,Medium,2025-04-30 07:00:00
D006,Restaurant,48.2627653632069,13.799959101127168,F006000,Vegetables,9.881982429404655,2025-05-01 09:00:00,24,High,2025-04-30 14:00:00
D007,Supermarket,9.93578407670862,40.77307142274171,F007000,Canned,7.941433120173512,2025-05-01 08:00:00,168,Medium,2025-04-30 16:00:00
D007,Supermarket,9.93578407670862,40.77307142274171,F007001,Dairy,2.0428215357261674,2025-05-01 10:00:00,24,High,2025-04-30 16:00:00
D007,Supermarket,9.93578407670862,40.77307142274171,F007002,Canned,3.9780822236738427,2025-05-03 03:00:00,168,Low,2025-04-30 16:00:00
D007,Supermarket,9.93578407670862,40.77307142274171,F007003,Dairy,3.9266498982407234,2025-05-01 06:00:00,24,Medium,2025-04-30 16:00:00
D008,Restaurant,44.36063712881633,5.9797122969150855,F008000,Canned,6.051494778125466,2025-05-06 22:00:00,168,Low,2025-04-30 13:00:00
D008,Restaurant,44.36063712881633,5.9797122969150855,F008001,Vegetables,7.3959660071720865,2025-05-01 10:00:00,24,Medium,2025-04-30 13:00:00
D008,Restaurant,44.36063712881633,5.9797122969150855,F008002,Dairy,2.8154728210185658,2025-05-01 07:00:00,24,High,2025-04-30 13:00:00
D009,Restaurant,15.717799053816334,45.37832369630465,F009000,Dairy,7.799960246887438,2025-05-01 13:00:00,24,High,2025-04-30 22:00:00
D009,Restaurant,15.717799053816334,45.37832369630465,F009001,Vegetables,3.6077630762239123,2025-05-01 15:00:00,24,Medium,2025-04-30 22:00:00
D009,Restaurant,15.717799053816334,45.37832369630465,F009002,Canned,3.660703172539426,2025-05-06 23:00:00,168,Medium,2025-04-30 22:00:00
